CAPF.NS              "CAPITAL FIRST LIMITED"                                                                             
CENTRALBK.NS         "Central Bank of India"                                                                             
SITICABLE.NS         "SITI CABLE NETWORK LIMITED"                                                                        
GSCLCEMENT-EQ.NS     "GUJARAT SIDHEE CEMENT LIMITED"                                                                     
CENTUM.NS            "Centum Electronics Ltd"                                                                            
COROENGG.NS          "Coromandel Engineering Co Ltd"                                                                     
FIRSTLEASE-BZ.NS     "FIRST LEASING CO OF INDIA"                                                                         
EUROCERA.NS          "Euro Ceramics Ltd"                                                                                 
BAYERCROP.NS         "Bayer CropScience Ltd"                                                                             
NGCT.NS              "Northgate Com Tech Ltd"                                                                            
CARERATIN.NS         "CREDIT ANALYSIS AND RESEARCH LI"                                                                   
PILANIINV.NS         "Pilani Investment and Industries Corp Ltd"                                                         
FCEL.NS              "Future Consumer Enterprise Limited"                                                                
NICCO.NS             "Nicco Corp Ltd"                                                                                    
THOMASCOO.NS         "Thomas Cook India Ltd"                                                                             
TCI.NS               "Transport Corp of India Ltd"                                                                       
DECOLIGHT.NS         "Decolight Ceramics Ltd"                                                                            
ORTEL.NS             "Ortel Communications Ltd"                                                                          
TITAN-IL.NS          "TITAN COMPANY LIMITED"                                                                             
INDIANHUM.NS         "Indian Hume Pipe Co Ltd"                                                                           
GREENFIRE-EQ.NS      "GREEN FIRE AGRI COMMODITIES LIM"                                                                   
SHILPI.NS            "Shilpi Cable Technologies Ltd"                                                                     
KKCL.NS              "Kewal Kiran Clothing Ltd"                                                                          
UNIVCABLES-EQ.NS     "UNIVERSAL CABLES LIMITED"                                                                          
ONELIFECA.NS         "ONELIFE CAPITAL ADVISORS LIMITE"                                                                   
WSTCSTPAP.NS         "West Coast Paper Mills Ltd"                                                                        
AHLUCONT.NS          "Ahluwalia Contracts India Ltd"                                                                     
SATIN-RL.NS          "SATIN CREDIT CARE INR10"                                                                           
COFFEEDAY-EQ.NS      "Coffee Day Enterprise Ltd"                                                                         
HINDOILEX.NS         "Hindustan Oil Exploration Co Ltd"                                                                  
NGCT-BE.NS           "NORTHGATE COM TECH INR10"                                                                          
ENERGYDEV.NS         "Energy Development Co Ltd"                                                                         
SHLAKSHMI-BZ.NS      "SHRI LAKSHMI COTSYN LTD"                                                                           
